Source,Target,Type,Id,Label,timeset,Weight
1420000,225853156,Undirected,788,,,2
1420000,238700453,Undirected,789,,,2
1420000,240884338,Undirected,790,,,2
1420000,241106597,Undirected,791,,,2
1420000,244474708,Undirected,792,,,2
1420000,258387065,Undirected,793,,,2
1420000,267520487,Undirected,794,,,2
1420000,268824646,Undirected,795,,,2
1420000,282049207,Undirected,796,,,2
1420000,302986476,Undirected,797,,,2
1420000,321776160,Undirected,798,,,2
1420000,329805700,Undirected,799,,,2
1420000,349975431,Undirected,801,,,2
1420000,352691695,Undirected,802,,,2
1420000,369965792,Undirected,803,,,2
1420000,370893764,Undirected,804,,,2
1420000,398842694,Undirected,805,,,2
1420000,406044473,Undirected,806,,,2
